date,mood,tweets
1459000005.512107,0.0036437898089171955,628
1459000607.003924,-0.0018758793969849222,597
1459001207.884297,-0.0065033994334277607,706
1459001808.121878,0.016731592689295041,766
1459002408.560153,0.058262203228869908,1053
1459003009.412991,0.035692181588902902,793
1459003609.527516,0.031051499348109513,767
1459004210.707731,-0.024234508547008541,936
1459004810.935914,-0.026032834224598927,935
1459005411.080378,-0.061476086956521729,920
1459006012.501274,0.010013120176405743,907
1459006613.410306,0.035880092059838893,869
1459007214.505894,0.013313260340632602,822
1459007815.168471,-0.018747601476014758,813
1459008416.571423,-0.033041558441558434,770
1459009017.204045,-0.037181125000000002,800
1459009617.383257,-0.025145995145631071,824
1459010220.175402,0.10122569930069931,1144
1459010822.005751,0.037261461461461462,999
1459011423.794103,0.025725726141078847,964
1459012025.213175,0.036760946745562136,1014
1459012625.63503,0.039368191721132907,918
1459013225.709031,0.011619790454016303,859
1459013825.714899,0.051267669172932337,798
1459014426.296266,-0.026215339233038343,1017
1459015026.40867,-0.045277194752774967,991
1459015627.852875,0.037965972222222227,864
1459016228.261564,0.056778228782287818,813
1459016829.70248,-0.010518402777777776,864
1459017432.13631,0.059055335533553362,909
1459018032.691367,0.027841020191285867,941
1459018634.301687,0.023420434782608697,920
1459019235.215624,-0.021962804171494786,863
1459019835.429984,0.016297864768683272,843
1459020435.465766,0.021037901498929333,934
1459021038.797509,-0.01317914317925592,887
1459021639.053,-0.11292515090543261,994
1459022239.237425,-0.081277799043062218,1045
1459022839.973086,-0.098660228452751811,963
1459023440.133177,0.081562350256702804,1753
1459024040.432591,0.048064928615766618,1611
1459024641.244822,-0.00031222677595627295,1464
1459025242.225101,0.096359086757990875,1095
1459025842.53715,0.088523668122270749,1145
1459026444.126045,0.075046804835924005,1158
1459027044.525805,0.064776985559566791,1108
1459027644.554513,0.084532549857549849,1404
1459028393.7238994,,0
1459029623.159799,0.075961647058823537,1275
1459030223.271195,-0.0096345629510825974,1247
1459030823.399894,-0.030623302598491199,1193
