date,mood,tweets
1459000004.409969,-0.0036322411787514546,5158
1459000604.528161,-0.0089978951324938914,5321
1459001204.630401,-0.0027196052876559298,5371
1459001804.823943,-0.0039214540003747432,5337
1459002404.92602,-0.01461865106675843,5812
1459003004.971561,-0.0091748545572075003,6188
1459003605.074707,-0.04023993685872139,6335
1459004205.179237,-0.019816258652709775,5923
1459004805.229378,-0.015943037536758346,5781
1459005405.470469,0.00055672043010752546,6324
1459006005.655932,-0.010113880597014938,9380
1459006605.84121,0.042853456773677891,7507
1459007205.898028,0.068140565792888658,7706
1459007806.048811,0.02849398725007244,6902
1459008406.086852,0.0032041283084004576,6952
1459009006.224677,-0.0056658873695044883,6801
1459009606.512443,-0.0086401500662056843,6797
1459010206.616576,0.00017468392534617522,6644
1459010806.653118,-0.043673907750574871,7393
1459011406.660474,-0.011619315335374343,7186
1459012006.67381,-0.015023966502724979,7523
1459012606.875384,-0.024328704225352119,7100
1459013206.954144,-0.0076465695883506041,7142
1459013807.014431,-0.013962717113235495,7427
1459014407.036006,-0.024713553719008269,7260
1459015007.082729,-0.033386786384347368,7462
1459015607.099637,-0.021224013545347468,6792
1459016207.170483,-0.030574078568178373,6593
1459016807.515768,-0.017800375763269143,6387
1459017407.647355,0.011698263428991905,6795
1459018008.360261,0.017274942129629628,6912
1459018608.447125,0.020542395285873545,6279
1459019208.725233,0.018648144876325084,6792
1459019808.853622,0.025375915534554046,6772
1459020408.865987,0.10498702567313713,7985
1459021008.95885,0.046208228643216082,7960
1459021608.989848,0.16640824220332118,9876
1459022209.002289,0.12541807624337289,7922
1459022809.065683,0.062426657101865138,6970
1459023409.203747,0.020354568802379021,7398
1459024009.23981,0.043087903338455101,7159
1459024609.362333,0.032081957409568262,6856
1459025209.416129,-0.018164936866934923,7207
1459025809.495828,-0.0021668165846802519,7115
1459026409.592572,-0.014366633775021148,7094
1459027009.600873,-0.00013562528148926766,6661
1459027609.665323,0.0038748839233894361,6892
1459028375.7865365,,0
1459029621.949105,0.015955588192098691,6809
1459030222.126503,0.022798389953308646,6211
1459030822.164774,0.014580768025078371,6380
1459031422.264377,0.037850637046716762,6122
1459046187.805119,,0
1459061433.84936,-0.0068123441396508756,2406
1459062034.179476,0.0067614305115436864,2209
1459063231.557004,0.042524532535527314,1337
1459063831.727869,-0.0090803940413262865,2081
1459064432.043724,0.003366884176182707,1839
1459065032.332127,-0.0018596590909090967,1760
1459065632.513855,0.018400117647058824,1700
1459066232.989692,0.0015509670674333528,1913
1459066833.328419,-0.010358235657001856,1621
1459067433.753325,-0.021729036827195469,1412
1459068034.188857,0.0040250766871165597,1304
1459068634.319253,-0.040050445292620862,1572
1459069234.496085,0.0021612853863810229,1307
1459070017.974922,-0.011941730558598032,913
1459070618.49562,-0.022817995069843878,1217
